1;1100106;GUAJARÁ-MIRIM;Guajará-Mirim;RO
2;1100379;ALTO ALEGRE DOS PARECIS;Alto Alegre dos Parecis;RO
3;1100205;PORTO VELHO;Porto Velho;RO
4;1100452;BURITIS;Buritis;RO
5;1100122;JI-PARANÁ;Ji-Paraná;RO
6;1100924;CHUPINGUAIA;Chupinguaia;RO
7;1100023;ARIQUEMES;Ariquemes;RO
8;1100940;CUJUBIM;Cujubim;RO
9;1100049;CACOAL;Cacoal;RO
10;1101435;NOVA UNIÃO;Nova União;RO
11;1100189;PIMENTA BUENO;Pimenta Bueno;RO
12;1101450;PARECIS;Parecis;RO
13;1100304;VILHENA;Vilhena;RO
14;1101468;PIMENTEIRAS DO OESTE;Pimenteiras do Oeste;RO
9241;1702109;ARAGUAÍNA;Araguaína;TO